time	latitude	longitude	depth	mag	magType	nst	gap	dmin	rms	net	id	updated	place	type
2010-02-27T23:12:34.910Z	-34.7	-71.827	35	6	mb	310	34.2		0.71	pde	pde20100227231234910_35	2013-11-05T03:26:10.820Z	Libertador General Bernardo O'Higgins, Chile	earthquake
2010-02-27T10:30:36.400Z	-33.281	-71.955	35	6	mb	213	33.2			pde	pde20100227103036400_35	2013-11-05T03:15:16.195Z	offshore Valparaiso, Chile	earthquake
2010-02-27T07:37:17.960Z	-36.869	-72.673	35	6	mb	319	34.4		0.86	pde	pde20100227073717960_35	2013-11-05T03:09:15.354Z	Bio-Bio, Chile	earthquake
2010-02-27T07:12:28.450Z	-33.878	-71.943	35	6	mb	291	30		1.02	pde	pde20100227071228450_35	2013-11-05T03:06:21.974Z	offshore Valparaiso, Chile	earthquake
2010-02-27T06:51:17.650Z	-31.663	-69.141	39.8	6	mb	118	52.7		0.69	pde	pde20100227065117650_39	2013-03-16T01:48:44.046Z	San Juan, Argentina	earthquake
2010-02-22T07:00:51.320Z	-23.626	-176.036	15	6	mwc	251	53.2		0.81	pde	pde20100222070051320_15	2013-03-16T01:48:40.788Z	south of the Fiji Islands	earthquake
2010-02-06T04:44:58.400Z	46.836	152.731	30	6	mwc	339	22.7		0.92	pde	pde20100206044458400_30	2013-03-16T01:48:31.213Z	Kuril Islands	earthquake
2010-01-12T22:00:41.490Z	18.387	-72.784	10	6	mwc	196	24.1		0.84	pde	pde20100112220041490_10	2013-11-05T02:40:46.175Z	Haiti region	earthquake
2010-01-05T13:11:42.820Z	-9.05	157.892	35	6	mwc	117	18.3		1.21	pde	pde20100105131142820_35	2013-11-05T02:34:05.696Z	Solomon Islands	earthquake
2014-02-03T22:36:41.380Z	-7.1643	128.0995	18.14	6.1	mwp		31	3.274	1.34	us	usc000mgma	2014-02-04T19:09:10.729Z	Kepulauan Barat Daya, Indonesia	earthquake
2014-02-03T03:08:46.220Z	38.2924	20.3373	13.7	6.1	mwp		35	1.679	1.02	us	usc000mfuh	2014-02-05T04:20:11.165Z	12km NW of Lixourion, Greece	earthquake
2014-02-01T03:58:43.710Z	-56.8099	-27.273	126.64	6.1	mb		30	5.811	0.88	us	usc000mf4j	2014-02-01T19:56:25.000Z	13km SSW of Visokoi Island, 	earthquake
2014-01-26T13:55:42.870Z	38.1736	20.4121	12.44	6.1	mww		36	1.558	0.81	us	usb000m8ch	2014-02-05T23:17:09.387Z	3km SSW of Lixourion, Greece	earthquake
2014-01-25T05:14:21.160Z	-7.9765	109.2464	89.14	6.1	mwc		35	1.266	1.43	us	usb000m7wd	2014-01-26T15:45:40.000Z	36km SSE of Adipala, Indonesia	earthquake
2013-11-13T23:45:47.930Z	-60.2814	-47.1233	11.07	6.1	mww		23	8.319	1.19	us	usb000kxhr	2014-01-31T21:26:05.362Z	Scotia Sea	earthquake
